[ QA Check & Talk Point ],,,,,,
No.,목차,Check Point,,Talk (example),,,고객예상질문1,고객예상질문2,고객예상질문3
,,"6. 미국인(시민권/영주권자 포함)일 경우 W-9 Form 제출 및 안내 
 (계약자, 수익자 행정상 주민번호 변경일 경우 진행 / 피보험자변경 제외)",,"미국인(시민권/영주권자 포함)일 경우 W-9 Form을 제출해야 하며, 미국인(시민권/영주권자 포함)으로 신분이 변경될 경우 한국에서의 보험차익이 미국에서 과세될 수 있으므로, IRS에 별도 소득신고가 필요합니다",,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,7. 증권 자동 재 발행 안내,,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
37,"명의변경
(계약자/수익자 변경)",1. 총 가입 건 수 안내 및 변경 요청 계약건 확인,,,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,2. 변경 대상자 및 가능 범위 확인,,변경 할 계약자는 보험의 대상이 되는(피보험자) OOO님과 어떤 관계이세요?,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,"2-1. 계약자,만기수익자 변경시 FATCA&CRS 확인",,,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,3. 명의 변경 신청 접수 방법 안내,,* 피보험자 본인으로 계약자(수익자) 변경 문의 시 : 변경 전/후 동의가 필요한 계약관계자 전원 복수인증(휴대폰&신분증) 가능여부 확인 -> 유선접수 가능 이 외 내방 및 등기접수 안내 ,,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"4. 구비서류 안내 및 신청서 수령방법 확인
  ※ 계약자 또는 만기수익자 변경 시 본인확인서 추가(미국인은 W9 form 추가)",,,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,5. 신청서 작성방법 안내 시 필수기재사항 안내,,,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,6. 증권 자동 재 발행 안내,,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
38,"어린이보험 
태아등재",1. 해당 계약건 확인,,,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,2. 자녀 출생일 확인 & 친권자 동의녹취 및 서류 안내 ,,"실례지만, 자녀 출생일이 어떻게 되세요?
자녀 분 등재 신청을 위해서는 배우자(친권자)님의 동의녹취와 자녀(주피보험자) 기준의 가족관계증명서를 팩스 발송 해주셔야 합니다. 먼저, 배우자님 성함과 연락 가능한 전화번호 말씀 해주시겠습니까?",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"3. 신용정보 제공활용 동의 (친권자 2인 동의 필수 )
※ 신용정보 제공활용 동의 녹취 접수 불가 시 팩스 접수 가능",,,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,4. 계약일로부터 6개월 이후 출생시 계약일 변경 안내,,"출생일 기준 6개월 이전 시점으로 계약일 변경되며, 계약일이 변경 된 경우, 계약 월 이전 납입 된 보험료 만큼 미리 납부한 것으로 계산되어 최종 보험료는 00월까지 납부 된 것으로 처리 됩니다",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,5. 출생된 자녀가 여아인 경우 보험료 차액 반환 안내 및 반환계좌 확인,,딸을 출산하신 경우 보험료가 낮아지기 때문에 차액만큼 반환 됩니다. 반환 받으실 계약자님 본인계좌 말씀 부탁 드립니다.,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",적용 시점과 청구 일정은 어떻게 되나요?
,,6. 국적 & Black List & CDD & 실제 소유자 확인,,"(내국인의 경우) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 실례지만 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까?
소지하고 계신 주민등록증(운전면허증, 재외국민주민등록증, 외국인등록증)의 발급일자를 말씀 해 주시겠어요? 
실례지만, 하시는 일이 어떻게 되시는지요? (+직장명이 어떻게 되십니까?)
이 계약의 실제 소유자가 계약자 OOO님 맞으시죠? ",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
,,7. 증권 자동 재 발행됨 안내,,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
,,※ 수익자가 태아일 경우 수익자도 함께 변경 처리안내,,,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
39,"직종(직무)&
운전차종 변경
",1. 해당 계약 건 확인,,,,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,2. 변경 후 직업(or차종) & 변경일자 확인,,"해당 계약의 보험대상자인 OOO님은 최초 계약 당시에는 직업(or 차종)은 어떻게 되셨습니까? 
변경 된 현재 직업(or 차종)은 어떻게 되세요? 
언제 변경 되셨습니까? ",,,계약자/수익자 정보 변경은 어떻게 하면 되나요?,변경 신청 시 필요한 확인 자료를 알려주세요.,변경된 내용은 언제부터 반영되나요?
,,"3. 변경 후 보험료 & 반제금, 추징금 발생시 안내",,"                       반제금 발생
확인 감사합니다. 말씀하신 직업(or 차종)으로 변경 될 경우, 위험등급이 낮아져 보험료는 000원으로 변경 되고, 반환 받으실 금액이 000원 발생 하는 것으로 확인 됩니다.
반환 받으실 계약자 본인 계좌 확인 부탁 드립니다. ","                     추징금 발생
확인 감사합니다. 말씀하신 직업(or 차종)으로 변경 될 경우, 위험등급이 높아져 보험료는 000원으로 변경 되고, 고객님께서 더 납부할 금액(추징금)이 발생 하는 것으로 확인 됩니다.
*가상계좌 또는 RTB로 납부 가능",,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",적용 시점과 청구 일정은 어떻게 되나요?
,,4. 접수방법 및 구비서류 안내,,"(위험이 감소하는 경우) 변경사실 증빙서류 를 팩스또는r 휴대폰 MMS로 보내주시면, 전화 상 접수가 가능합니다",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,변경 반영은 언제부터 확인할 수 있나요?
,,"
5.Black list 검증 대상자의 국적 및 영문명
5-1. CDD & 실제 소유자 확인",,"(내국인의 경우) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 실례지만 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까?
고객님 신분증의 발급일자를 말씀 해주시겠습니까?
* 운전면허증의 경우 : 면허번호, 만료일자 확인
실례지만 하시는 일이 어떻게 되십니까?(+직장명이 어떻게 되십니까?)
이 계약의 실제 소유자가 고객님 맞으시죠? (재질의 시 ""고객님 본인 의지로 계약을 하신게 맞으시죠 타인을 대리하시는게 아니시죠?)
  → 아니오 인 경우: 실제 소유자 성명, 주민번호, 국적 확인",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,5. 증권 자동 재 발행 안내,,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
40,"납입기간변경
",1. 총 가입 건 수 안내 및 해당 계약건 확인,,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,2. 추후 납입기간 연장은 불가안내,,납입기간 변경이 완료되면 추후 납입기간 연장은 가능하지 않습니다,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,3. (추징금이 발생 할 경우)입금 가능한 방법 확인,,"납입기간을 변경할 경우 월 보험료가 변경되어 O월 부터 변경 된 보험료가 이체 될 예정이며, 고객님께서 더 납부할 금액(추징금) 000원이 발생되어 입금 후 처리 가능 한데요, 입금전용계(가상계좌)나 즉시출금 중 어떤 방법으로 납입 하시겠습니까? ",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"
4.Black list 검증 대상자의 국적 및 영문명
4-1. CDD & 실제 소유자 확인",,"(내국인의 경우) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 실례지만 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까?
고객님 신분증의 발급일자를 말씀 해주시겠습니까?
* 운전면허증의 경우 : 면허번호, 만료일자 확인
실례지만 하시는 일이 어떻게 되십니까?(+직장명이 어떻게 되십니까?)
이 계약의 실제 소유자가 고객님 맞으시죠? (재질의 시 ""고객님 본인 의지로 계약을 하신게 맞으시죠 타인을 대리하시는게 아니시죠?)
  → 아니오 인 경우: 실제 소유자 성명, 주민번호, 국적 확인",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,5. 증권 자동 재 발행 안내,,,,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,수령 가능한 방식(문자/이메일/우편 등)을 알려주세요.,발급 완료까지 보통 몇 분 또는 며칠 걸리나요?
41," 납입주기변경
",1. 총 가입 건 수 안내 및 해당 계약건 확인,,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,2. 납입주기 변경가능 여부 확인,,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,3. (변경 불가 시) 변경 가능 시기 안내,,납입주기는 납입주기 개월 수의 배수까지 납입한 후 변경이 가능합니다. 번거로우시겠지만 O월 이후 신청 부탁 드립니다,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"4. 추징,반제금 확인 안내",,"(추징금 발생) 납입주기을 변경할 경우 월 보험료가 변경되어 O월 부터 변경 된 보험료가 이체 될 예정이며, 고객님께서 더 납부할 금액(추징금)  000원이 발생되어 입금 후 처리 가능 한데요, 입금전용계(가상계좌)나 즉시출금 중 어떤 방법으로 납입 하시겠습니까? 
(반제금 발생) 고객님께서 반환 받으실 금액(반제금) 000원이 발생되어 지급 받으실 계약자 본인 계좌 확인 부탁 드립니다. ",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
